Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Konditionspass,2025-09-28 15:00:42,false,"Kondition","0.00","397","01:02:25","101","139","1.3","119","245","--","--","--","--","0.00","--","--","--","--","0.0","3,278","Nej","01:02:25","1","--","--","00:00:00","01:02:25","-1","-1"
Cykling,2025-09-28 14:46:15,false,"Staffanstorp Cykling","3.62","152","00:12:37","119","126","1.9","--","--","17.2","32.7","4","14","--","--","--","--","--","0.0","--","Nej","00:02:41.5","2","--","--","00:10:15","00:12:37","8","25"
Längdskidåkning klassisk stil,2025-09-27 11:43:30,false,"Staffanstorp Längdskidåkning klassisk stil","37.96","1,156","02:57:18","106","119","1.5","67","255","12.8","24.7","144","144","0.00","0.0","10.7","557","50.7% vänster/49.3% höger","0.0","8,034","Nej","00:10:55","8","--","--","02:53:21","02:57:18","14","105"
Löpning,2025-09-26 17:50:28,false,"Staffanstorp Löpning","11.37","761","01:01:59","132","150","3.1","157","173","5:27","4:09","23","22","1.14","8.4","9.6","254","47.2% vänster/52.8% höger","0.0","9,590","Nej","00:00:31.0","22","--","--","01:01:55","01:01:59","14","32"
Löpning,2025-09-25 11:06:09,false,"Lund Löpning","5.99","506","00:31:48","148","178","3.9","165","170","5:19","4:28","25","24","1.14","--","--","--","--","0.0","5,226","Nej","00:05:12.1","6","--","--","00:31:41","00:31:48","65","90"
Cykling,2025-09-24 18:11:23,false,"Lund Cykling","9.05","235","00:24:30","109","119","1.6","--","--","22.2","30.6","6","58","--","--","--","--","--","0.0","--","Nej","00:10:42","2","--","--","00:23:55","00:24:30","14","75"
Cykling,2025-09-24 07:22:49,false,"Staffanstorp Cykling","8.22","282","00:32:11","105","124","1.6","--","--","15.3","32.9","59","12","--","--","--","--","--","0.0","--","Nej","00:16:04","2","--","--","00:26:32","00:32:11","14","70"
Cykling,2025-09-23 19:21:38,false,"Lund Cykling","5.58","182","00:17:12","114","122","1.6","--","--","19.5","31.5","10","24","--","--","--","--","--","0.0","--","Nej","00:02:42.4","2","--","--","00:15:36","00:26:24","14","35"
Löpning,2025-09-23 17:26:48,false,"Lund Löpning","7.94","1,022","01:43:58","122","157","3.0","129","255","13:06","2:30","146","150","0.83","10.5","8.6","397","49.2% vänster/50.8% höger","0.0","64","Nej","00:07:01.7","8","--","--","01:07:38","01:43:58","50","74"
Cykling,2025-09-23 07:20:12,false,"Staffanstorp Cykling","8.19","244","00:28:12","106","120","1.4","--","--","17.4","30.7","51","3","--","--","--","--","--","0.0","--","Nej","00:13:15","2","--","--","00:26:57","00:28:12","14","70"
Längdskidåkning klassisk stil,2025-09-22 18:16:15,false,"Lund Längdskidåkning klassisk stil","22.86","1,045","01:51:38","125","152","2.7","64","255","12.3","24.4","114","119","0.00","0.0","12.1","562","40.5% vänster/59.5% höger","0.0","20","Nej","00:13:18","5","--","--","01:40:43","01:51:38","28","104"
Cykling,2025-09-22 16:24:23,false,"Lund Cykling","8.11","290","00:23:28","122","140","2.3","--","--","20.7","35.3","5","52","--","--","--","--","--","0.0","--","Nej","00:08:33.1","2","--","--","00:21:44","00:23:28","14","67"
Cykling,2025-09-22 07:16:20,false,"Staffanstorp Cykling","8.16","294","00:23:55","122","139","2.2","--","--","20.5","32.6","55","9","--","--","--","--","--","0.0","--","Nej","00:10:40","2","--","--","00:23:33","00:23:55","9","71"
Cykling,2025-09-21 16:05:11,false,"Burlöv Cykling","3.50","83","00:08:33.0","106","113","1.2","--","--","24.5","43.0","13","5","--","--","--","--","--","0.0","--","Nej","00:08:33.0","1","--","--","00:08:32","00:08:33.0","9","26"
Konditionspass,2025-09-21 14:59:33,false,"Kondition","0.00","374","01:00:52","97","139","1.3","120","235","--","--","--","--","0.00","--","--","--","--","0.0","3,418","Nej","01:00:52","1","--","--","00:00:00","01:00:52","--","--"
Cykling,2025-09-21 14:43:01,false,"Staffanstorp Cykling","3.41","108","00:10:42","109","122","1.3","--","--","19.1","26.0","4","12","--","--","--","--","--","0.0","--","Nej","00:10:42","1","--","--","00:10:37","00:10:42","8","25"
Cykling,2025-09-19 15:29:36,false,"Lund Cykling","6.37","93","00:18:53","93","95","1.1","--","--","20.2","31.9","6","22","--","--","--","--","--","0.0","--","Nej","00:03:48.0","2","--","--","00:18:35","00:18:53","14","39"
Löpning,2025-09-19 11:44:59,false,"Lund Löpning","6.02","409","00:31:46","139","159","3.2","164","192","5:16","4:41","21","19","1.15","8.9","10.4","261","47.0% vänster/53.0% höger","0.0","150","Nej","00:00:09.5","7","--","--","00:31:45","00:31:46","66","90"
Konditionspass,2025-09-19 06:59:27,false,"Kondition","0.00","452","01:02:46","106","143","1.5","121","245","--","--","--","--","0.00","--","--","--","--","0.0","3,566","Nej","01:02:46","1","--","--","00:00:00","01:02:46","--","--"
Cykling,2025-09-19 06:26:40,false,"Staffanstorp Cykling","8.17","333","00:27:39","121","134","2.3","--","--","17.7","33.2","58","10","--","--","--","--","--","0.0","--","Nej","00:13:35","2","--","--","00:26:02","00:27:39","12","71"
Konditionspass,2025-09-18 20:58:46,false,"Kondition","0.00","435","01:06:49","102","129","1.2","116","233","--","--","--","--","0.00","--","--","--","--","0.0","3,706","Nej","01:06:49","1","--","--","00:00:00","01:06:49","--","--"
Cykling,2025-09-18 18:01:14,false,"Lund Cykling","9.29","325","00:26:41","122","161","2.3","--","--","20.9","29.4","10","71","--","--","--","--","--","0.0","--","Nej","00:12:02","2","--","--","00:26:04","00:26:41","14","82"
Konditionspass,2025-09-18 16:16:29,false,"Kondition","0.00","441","01:15:21","99","136","1.1","118","229","--","--","--","--","0.00","--","--","--","--","0.0","3,258","Nej","01:15:21","1","--","--","00:00:00","01:15:21","--","--"
Cykling,2025-09-18 07:16:43,false,"Staffanstorp Cykling","8.22","251","00:30:28","103","112","1.3","--","--","16.2","33.4","52","9","--","--","--","--","--","0.0","--","Nej","00:15:12","2","--","--","00:26:02","00:30:28","14","70"
Längdskidåkning klassisk stil,2025-09-17 18:02:21,false,"Lund Längdskidåkning klassisk stil","24.25","994","02:00:37","116","140","2.1","77","255","12.1","23.3","242","241","0.00","0.0","11.2","539","44.2% vänster/55.8% höger","0.0","4,708","Nej","00:21:23","5","--","--","01:46:23","02:00:38","31","76"
Cykling,2025-09-16 19:08:09,false,"Lund Cykling","8.43","242","00:24:20","110","120","1.6","--","--","20.8","29.3","18","53","--","--","--","--","--","0.0","--","Nej","00:10:21","2","--","--","00:24:19","00:24:20","14","59"
Löpning,2025-09-16 17:23:30,false,"Lund Löpning","8.81","926","01:39:05","115","162","3.1","126","248","11:15","3:46","180","182","0.89","12.1","10.1","412","49.1% vänster/50.9% höger","0.0","9,284","Nej","00:06:10.0","9","--","--","01:13:19","01:43:59","51","74"
Cykling,2025-09-16 07:20:13,false,"Staffanstorp Cykling","8.18","229","00:26:18","105","123","1.3","--","--","18.7","35.6","53","9","--","--","--","--","--","0.0","--","Nej","00:12:26","2","--","--","00:25:05","00:26:18","-2","68"
Längdskidåkning klassisk stil,2025-09-15 18:04:09,false,"Lund Längdskidåkning klassisk stil","24.84","1,020","02:07:54","115","139","2.0","70","255","11.7","24.5","117","112","1.25","9.5","12.8","535","55.2% vänster/44.8% höger","0.0","4,880","Nej","00:23:35","5","--","--","01:59:11","02:07:54","31","86"
Cykling,2025-09-15 16:32:55,false,"Lund Cykling","8.18","272","00:24:11","116","127","2.0","--","--","20.3","34.5","7","54","--","--","--","--","--","0.0","--","Nej","00:10:24","2","--","--","00:22:11","00:24:11","14","67"
Cykling,2025-09-15 07:27:20,false,"Staffanstorp Cykling","8.24","257","00:26:41","110","126","1.5","--","--","18.5","32.6","57","11","--","--","--","--","--","0.0","--","Nej","00:11:22","2","--","--","00:24:55","00:26:41","14","71"
Cykling,2025-09-14 16:08:24,false,"Burlöv Cykling","3.70","145","00:21:18","94","135","1.3","--","--","10.4","33.4","14","4","--","--","--","--","--","0.0","--","Nej","00:21:18","1","--","--","00:11:12","00:21:18","9","26"
Konditionspass,2025-09-14 14:58:44,false,"Kondition","4.75","428","01:01:22","104","132","1.3","117","248","4.6","17.4","--","--","0.78","9.4","7.1","439","49.4% vänster/50.6% höger","0.0","5,268","Nej","01:01:22","1","--","--","00:54:18","01:01:22","--","--"
Cykling,2025-09-14 14:44:13,false,"Staffanstorp Cykling","3.64","102","00:13:37","94","112","1.2","--","--","16.0","29.3","4","24","--","--","--","--","--","0.0","--","Nej","00:13:37","1","--","--","00:10:48","00:13:37","-2","25"
Längdskidåkning klassisk stil,2025-09-13 11:35:31,false,"Staffanstorp Längdskidåkning klassisk stil","38.13","1,314","03:06:08","109","125","1.7","68","248","12.3","25.1","173","172","0.00","0.0","10.7","511","49.9% vänster/50.1% höger","0.0","8,792","Nej","00:14:35","8","--","--","02:52:45","03:06:08","14","105"
Löpning,2025-09-12 17:29:08,false,"Staffanstorp Löpning","11.37","812","01:02:22","136","151","3.5","157","171","5:29","4:01","26","25","1.14","8.4","9.8","258","47.5% vänster/52.5% höger","0.0","9,742","Nej","00:01:00","22","--","--","01:02:07","01:02:22","15","32"
Cykling,2025-09-12 16:34:54,false,"Lund Cykling","6.92","259","00:20:08","130","146","2.4","--","--","20.6","34.1","7","41","--","--","--","--","--","0.0","--","Nej","00:06:00.1","2","--","--","00:19:54","00:20:10","14","55"
Konditionspass,2025-09-12 07:40:57,false,"Kondition","0.00","129","00:24:39","89","116","1.1","117","196","--","--","--","--","0.00","--","--","--","--","0.0","1,054","Nej","00:24:39","1","--","--","00:00:00","00:24:39","--","--"
Cykling,2025-09-12 06:22:21,false,"Staffanstorp Cykling","8.20","315","00:26:09","124","138","2.3","--","--","18.8","31.2","55","7","--","--","--","--","--","0.0","--","Nej","00:11:44","2","--","--","00:26:01","00:26:09","14","71"
Konditionspass,2025-09-11 20:55:02,false,"Kondition","0.00","536","01:07:28","112","159","1.8","121","236","--","--","--","--","0.00","--","--","--","--","0.0","3,466","Nej","01:07:28","1","--","--","00:00:00","01:07:28","--","--"
Cykling,2025-09-11 17:35:17,false,"Lund Cykling","8.15","282","00:25:23","118","133","2.1","--","--","19.3","29.6","6","57","--","--","--","--","--","0.0","--","Nej","00:09:47.4","2","--","--","00:24:24","00:25:23","14","74"
Konditionspass,2025-09-11 16:00:10,false,"Kondition","0.00","518","01:34:51","98","140","1.2","118","245","--","--","--","--","0.00","--","--","--","--","0.0","4,070","Nej","01:34:51","1","--","--","00:00:00","01:34:51","66","66"
Cykling,2025-09-11 07:21:52,false,"Staffanstorp Cykling","8.22","245","00:26:14","111","123","1.5","--","--","18.8","32.8","52","5","--","--","--","--","--","0.0","--","Nej","00:12:10","2","--","--","00:26:01","00:26:14","14","71"
Längdskidåkning klassisk stil,2025-09-10 18:32:07,false,"Staffanstorp Längdskidåkning klassisk stil","16.16","560","01:20:06","110","142","1.5","101","189","12.1","19.7","44","42","2.01","--","--","--","--","0.0","11,120","Nej","00:01:52.4","14","--","--","01:16:02","01:20:06","14","32"
Längdskidåkning klassisk stil,2025-09-08 18:01:33,false,"Lund Längdskidåkning klassisk stil","24.32","1,119","01:57:09","129","158","3.1","70","255","12.5","24.5","121","121","0.00","0.0","14.5","589","51.3% vänster/48.7% höger","0.0","38","Nej","00:22:18","5","--","--","01:45:13","01:57:09","28","105"
Cykling,2025-09-08 16:29:59,false,"Lund Cykling","8.05","238","00:21:21","119","129","2.0","--","--","22.6","34.5","6","53","--","--","--","--","--","0.0","--","Nej","00:07:45.3","2","--","--","00:21:10","00:21:21","14","68"
Cykling,2025-09-08 07:26:07,false,"Staffanstorp Cykling","8.17","267","00:29:11","111","138","1.6","--","--","16.8","31.9","57","20","--","--","--","--","--","0.0","--","Nej","00:14:25","2","--","--","00:25:32","00:29:11","6","70"
Cykling,2025-09-07 16:07:17,false,"Burlöv Cykling","3.68","158","00:16:22","111","127","1.5","--","--","13.5","31.5","13","18","--","--","--","--","--","0.0","--","Nej","00:05:13.4","2","--","--","00:11:35","00:16:22","9","26"
Konditionspass,2025-09-07 15:34:51,false,"Kondition","0.00","180","00:27:07","101","141","1.2","116","240","--","--","--","--","0.00","--","--","--","--","0.0","1,634","Nej","00:27:07","1","--","--","00:00:00","00:27:07","--","--"
Cykling,2025-09-07 14:42:28,false,"Staffanstorp Cykling","3.51","105","00:10:33","111","118","1.4","--","--","19.9","29.0","4","13","--","--","--","--","--","0.0","--","Nej","00:00:01.6","2","--","--","00:10:21","00:10:33","8","25"
Cykling,2025-09-05 15:39:57,false,"Lund Cykling","7.84","123","00:22:55","106","153","1.2","--","--","20.5","35.3","13","56","--","--","--","--","--","0.0","--","Nej","00:08:03.2","2","--","--","00:22:13","00:22:55","14","66"
Löpning,2025-09-05 11:52:02,false,"Lund Löpning","6.06","443","00:33:29","134","149","3.1","162","177","5:32","4:20","21","19","1.10","9.5","10.6","268","47.4% vänster/52.6% höger","0.0","128","Nej","00:00:19.0","7","--","--","00:33:27","00:33:29","67","90"
Konditionspass,2025-09-05 06:55:49,false,"Kondition","0.00","304","01:04:11","88","126","1.1","118","226","--","--","--","--","0.00","--","--","--","--","0.0","2,860","Nej","01:04:11","1","--","--","00:00:00","01:04:11","--","--"
Cykling,2025-09-05 06:21:43,false,"Staffanstorp Cykling","8.20","294","00:29:00","115","127","1.7","--","--","17.0","31.0","55","3","--","--","--","--","--","0.0","--","Nej","00:13:27","2","--","--","00:27:33","00:29:00","14","70"
Konditionspass,2025-09-04 20:52:01,false,"Kondition","0.00","434","01:08:46","100","141","1.5","122","239","--","--","--","--","0.00","--","--","--","--","0.0","3,644","Nej","01:08:46","1","--","--","00:00:00","01:08:46","4","4"
Cykling,2025-09-04 17:33:08,false,"Lund Cykling","8.10","276","00:25:23","120","140","2.2","--","--","19.1","29.2","10","64","--","--","--","--","--","0.0","--","Nej","00:09:45.8","2","--","--","00:23:58","00:25:23","14","73"
Konditionspass,2025-09-04 15:58:50,false,"Kondition","0.00","613","01:30:19","109","150","1.6","123","235","--","--","--","--","0.00","--","--","--","--","0.0","4,320","Nej","01:30:19","1","--","--","00:00:00","01:30:19","--","--"
Cykling,2025-09-04 07:05:20,false,"Staffanstorp Cykling","8.24","261","00:26:03","114","131","1.7","--","--","19.0","32.3","52","171","--","--","--","--","--","0.0","--","Nej","00:11:47","2","--","--","00:25:07","00:26:03","14","184"
Längdskidåkning klassisk stil,2025-09-03 19:06:40,false,"Staffanstorp Längdskidåkning klassisk stil","15.13","577","01:14:52","111","127","1.5","61","240","12.1","20.6","47","46","0.00","0.0","11.0","602","44.2% vänster/55.8% höger","0.0","3,176","Nej","00:01:59.1","12","--","--","01:12:25","01:14:52","14","32"
Cykling,2025-09-02 19:22:22,false,"Lund Cykling","8.67","216","00:24:36","106","118","1.5","--","--","21.2","33.3","14","58","--","--","--","--","--","0.0","--","Nej","00:10:30","2","--","--","00:24:15","00:24:36","14","63"
Löpning,2025-09-02 17:20:37,false,"Lund Löpning","6.43","783","01:46:04","105","157","2.2","124","248","16:29","4:01","85","84","0.86","12.5","9.8","439","49.2% vänster/50.8% höger","0.0","7,358","Nej","00:06:07.5","7","--","--","00:56:08","01:46:04","53","74"
Cykling,2025-09-02 07:37:45,false,"Staffanstorp Cykling","8.16","409","00:26:24","151","171","3.5","--","--","18.5","33.2","55","17","--","--","--","--","--","0.0","--","Nej","00:12:12","2","--","--","00:25:06","00:26:24","14","70"
Längdskidåkning klassisk stil,2025-09-01 18:01:36,false,"Lund Längdskidåkning klassisk stil","24.43","825","01:50:28","113","137","1.8","70","255","13.3","25.8","119","116","0.00","0.0","10.7","542","39.3% vänster/60.7% höger","0.0","4,098","Nej","00:16:53","5","--","--","01:39:38","01:50:28","24","90"
Cykling,2025-09-01 16:17:41,false,"Lund Cykling","7.94","252","00:22:05","119","132","2.0","--","--","21.6","32.0","11","58","--","--","--","--","--","0.0","--","Nej","00:07:23.1","2","--","--","00:20:57","00:22:05","14","66"
Cykling,2025-09-01 07:30:20,false,"Staffanstorp Cykling","8.23","252","00:24:01","115","138","1.9","--","--","20.5","35.9","48","2","--","--","--","--","--","0.0","--","Nej","00:10:26","2","--","--","00:23:28","00:24:01","14","70"
Cykling,2025-08-31 16:07:42,false,"Burlöv Cykling","3.56","116","00:10:55","116","130","1.6","--","--","19.6","30.7","14","5","--","--","--","--","--","0.0","--","Nej","00:10:55","1","--","--","00:10:53","00:10:55","8","25"
Konditionspass,2025-08-31 15:00:01,false,"Kondition","0.00","489","01:02:48","113","164","1.8","118","232","--","--","--","--","0.00","--","--","--","--","0.0","3,080","Nej","01:02:48","1","--","--","00:00:00","01:02:48","--","--"
Cykling,2025-08-31 14:36:51,false,"Staffanstorp Cykling","3.61","190","00:11:36","156","178","3.0","--","--","18.7","33.8","11","19","--","--","--","--","--","0.0","--","Nej","00:11:36","1","--","--","00:11:31","00:11:36","-10","25"
Löpning,2025-08-30 21:09:02,false,"Malmö Löpning","10.14","775","00:48:11","157","163","4.7","170","184","4:45","3:44","87","83","1.19","8.3","10.2","252","47.1% vänster/52.9% höger","0.0","8,074","Nej","00:00:37.0","11","--","--","00:48:03","00:48:11","--","24"
Konditionspass,2025-08-30 11:10:14,false,"Kondition","0.00","395","00:52:52","108","139","1.4","119","235","--","--","--","--","0.00","--","--","--","--","0.0","3,086","Nej","00:52:52","1","--","--","00:00:00","00:52:52","--","--"
Längdskidåkning klassisk stil,2025-08-29 18:54:49,false,"Staffanstorp Längdskidåkning klassisk stil","17.21","567","01:09:18","114","129","1.6","68","229","14.9","23.1","47","44","0.00","0.0","10.3","378","63.2% vänster/36.8% höger","0.0","3,248","Nej","00:08:47.9","4","--","--","01:09:18","01:09:18","11","33"
Konditionspass,2025-08-29 06:58:33,false,"Kondition","0.00","472","01:11:14","105","147","1.3","120","245","--","--","--","--","0.00","--","--","--","--","0.0","2,696","Nej","01:11:14","1","--","--","00:00:00","01:11:14","--","--"
Konditionspass,2025-08-28 21:38:19,false,"Kondition","0.00","161","00:37:14","82","125","1.1","121","238","--","--","--","--","0.00","--","--","--","--","0.0","1,572","Nej","00:37:14","1","--","--","00:00:00","00:37:14","--","--"
Konditionspass,2025-08-28 15:57:35,false,"Kondition","0.00","570","01:26:05","106","147","1.4","120","235","--","--","--","--","0.00","--","--","--","--","0.0","4,726","Nej","01:26:05","1","--","--","00:00:00","01:26:05","--","--"
Cykling,2025-08-26 18:58:40,false,"Lund Cykling","8.07","254","00:25:04","112","122","1.7","--","--","19.3","28.1","13","45","--","--","--","--","--","0.0","--","Nej","00:09:19.5","2","--","--","00:24:11","00:25:04","14","60"
Löpning,2025-08-26 17:24:44,false,"Lund Löpning","7.57","787","01:27:11","114","159","2.7","127","252","11:31","1:51","68","68","0.84","12.2","8.9","398","48.8% vänster/51.2% höger","0.0","6","Nej","00:06:50.5","8","--","--","01:08:00","01:27:11","53","74"
Cykling,2025-08-26 07:37:02,false,"Staffanstorp Cykling","8.18","312","00:25:36","122","134","2.2","--","--","19.2","31.9","47","--","--","--","--","--","--","0.0","--","Nej","00:11:42","2","--","--","00:24:39","00:25:36","14","71"
Längdskidåkning klassisk stil,2025-08-25 18:06:27,false,"Lund Längdskidåkning klassisk stil","27.09","1,263","02:03:13","130","157","3.1","70","255","13.2","22.4","61","65","0.00","0.0","13.8","568","45.5% vänster/54.5% höger","0.0","4,438","Nej","00:08:42.2","6","--","--","01:55:26","02:03:24","3","35"
Cykling,2025-08-25 16:30:58,false,"Staffanstorp Cykling","1.33","42","00:03:22.1","123","136","1.3","--","--","23.8","30.4","4","5","--","--","--","--","--","0.0","--","Nej","00:03:22.1","1","--","--","00:03:22","00:03:24.1","17","24"
Cykling,2025-08-25 07:06:22,false,"Staffanstorp Cykling","8.16","268","00:26:48","112","120","1.6","--","--","18.3","33.3","59","7","--","--","--","--","--","0.0","--","Nej","00:11:59","2","--","--","00:25:27","00:26:48","14","71"
Cykling,2025-08-24 16:20:52,false,"Burlöv Cykling","3.36","188","00:19:00","111","135","2.0","--","--","10.6","32.8","14","6","--","--","--","--","--","0.0","--","Nej","00:19:00","1","--","--","00:09:44","00:19:00","11","25"
Konditionspass,2025-08-24 15:03:42,false,"Kondition","0.00","288","00:58:59","88","130","1.1","120","226","--","--","--","--","0.00","--","--","--","--","0.0","2,756","Nej","00:58:59","1","--","--","00:00:00","00:59:00","4","4"
Cykling,2025-08-24 14:45:07,false,"Staffanstorp Cykling","3.64","140","00:15:47","104","118","1.3","--","--","13.8","26.9","4","14","--","--","--","--","--","0.0","--","Nej","00:15:47","1","--","--","00:11:51","00:15:48","5","25"
Cykling,2025-08-22 07:34:50,false,"Staffanstorp Cykling","8.12","270","00:25:55","114","148","1.8","--","--","18.8","33.6","56","9","--","--","--","--","--","0.0","--","Nej","00:11:50","2","--","--","00:24:38","00:25:55","14","70"
Konditionspass,2025-08-21 21:00:21,false,"Kondition","0.00","464","01:03:05","108","142","1.5","125","235","--","--","--","--","0.00","--","--","--","--","0.0","2,722","Nej","01:03:05","1","--","--","00:00:00","01:03:05","--","--"
Cykling,2025-08-21 17:43:20,false,"Lund Cykling","6.08","224","00:18:45","119","132","2.1","--","--","19.5","28.3","14","43","--","--","--","--","--","0.0","--","Nej","00:03:05.7","2","--","--","00:18:15","00:18:45","14","46"
Konditionspass,2025-08-21 16:05:32,false,"Kondition","0.00","365","00:55:20","102","145","1.3","124","220","--","--","--","--","0.00","--","--","--","--","0.0","2,376","Nej","00:55:20","1","--","--","00:00:00","00:55:20","--","--"
Cykling,2025-08-21 07:27:19,false,"Staffanstorp Cykling","8.16","296","00:26:58","116","132","2.0","--","--","18.2","33.9","55","6","--","--","--","--","--","0.0","--","Nej","00:11:58","2","--","--","00:26:27","00:26:58","14","70"
Längdskidåkning klassisk stil,2025-08-20 18:02:45,false,"Lund Längdskidåkning klassisk stil","24.77","1,001","02:11:28","114","147","2.2","77","255","11.3","29.1","204","206","0.00","0.0","9.6","519","39.0% vänster/61.0% höger","0.0","246","Nej","00:22:10","5","--","--","01:47:26","02:11:28","28","64"
Cykling,2025-08-19 18:59:17,false,"Lund Cykling","8.87","251","00:26:16","109","119","1.5","--","--","20.3","35.3","12","63","--","--","--","--","--","0.0","--","Nej","00:10:49","2","--","--","00:24:45","00:26:16","14","69"
Löpning,2025-08-19 17:30:31,false,"Lund Löpning","8.03","573","01:21:11","115","156","1.0","129","225","10:07","4:02","130","129","0.92","10.5","9.6","407","49.3% vänster/50.7% höger","0.0","14","Nej","00:00:09.1","9","--","--","01:04:48","01:21:11","52","74"
Cykling,2025-08-19 07:30:19,false,"Staffanstorp Cykling","8.83","373","00:30:07","124","138","2.4","--","--","17.6","33.2","52","6","--","--","--","--","--","0.0","--","Nej","00:13:58","2","--","--","00:28:17","00:30:07","14","71"
Längdskidåkning klassisk stil,2025-08-18 18:04:46,false,"Lund Längdskidåkning klassisk stil","24.69","1,231","01:55:58","128","154","2.7","70","248","12.8","23.1","77","77","0.00","0.0","13.2","567","47.2% vänster/52.8% höger","0.0","106","Nej","00:20:42","5","--","--","01:44:01","01:55:58","8","37"
Cykling,2025-08-18 16:29:17,false,"Staffanstorp Cykling","2.05","77","00:05:42.0","128","155","1.6","--","--","21.6","30.9","--","--","--","--","--","--","--","0.0","--","Nej","00:05:42.0","1","--","--","00:05:33","00:05:42.0","17","26"
Cykling,2025-08-18 07:35:33,false,"Staffanstorp Cykling","8.18","272","00:26:17","117","144","2.0","--","--","18.7","32.0","55","9","--","--","--","--","--","0.0","--","Nej","00:11:56","2","--","--","00:25:08","00:26:17","14","70"
Längdskidåkning klassisk stil,2025-08-16 11:38:20,false,"Staffanstorp Längdskidåkning klassisk stil","17.37","716","01:29:24","114","127","1.7","66","248","11.7","19.8","53","52","0.00","0.0","11.5","569","54.2% vänster/45.8% höger","0.0","4,718","Nej","00:11:35","4","--","--","01:27:40","01:29:24","4","35"
Löpning,2025-08-15 17:34:38,false,"10x1km 1 min vila","11.40","925","01:02:36","144","159","4.2","158","172","5:29","4:25","24","24","1.13","8.3","9.5","256","47.4% vänster/52.6% höger","0.0","9,702","Nej","00:00:26.1","23","--","--","01:02:27","01:03:24","15","33"
Cykling,2025-08-14 07:24:50,false,"Staffanstorp Cykling","8.16","298","00:30:11","115","142","2.0","--","--","16.2","32.6","60","18","--","--","--","--","--","0.0","--","Nej","00:14:02","2","--","--","00:28:08","00:30:11","14","71"
Längdskidåkning klassisk stil,2025-08-13 18:59:36,false,"Ring Knutsson tävling DM 20 km","20.44","1,105","01:13:56","150","160","4.1","69","223","16.6","33.7","101","96","0.00","0.0","16.7","540","46.1% vänster/53.9% höger","0.0","4,048","Nej","00:01:20.4","5","--","--","01:13:50","01:14:39","81","94"
Längdskidåkning klassisk stil,2025-08-13 18:02:14,false,"Svalöv Längdskidåkning klassisk stil","2.18","129","00:11:49","121","141","1.7","79","211","11.0","29.1","10","12","0.00","0.0","9.6","565","39.8% vänster/60.2% höger","0.0","630","Nej","00:11:49","1","--","--","00:09:43","00:11:49","81","94"
Cykling,2025-08-13 07:23:32,false,"Staffanstorp Cykling","8.19","290","00:26:50","117","140","1.8","--","--","18.3","31.9","51","4","--","--","--","--","--","0.0","--","Nej","00:11:36","2","--","--","00:26:26","00:26:50","14","71"
Cykling,2025-08-12 19:03:18,false,"Lund Cykling","8.60","259","00:26:36","111","125","1.7","--","--","19.4","32.3","15","58","--","--","--","--","--","0.0","--","Nej","00:09:48.9","2","--","--","00:25:58","00:26:36","14","63"
Löpning,2025-08-12 17:20:57,false,"Lund Löpning","10.70","1,130","01:40:31","126","162","3.5","134","248","9:24","4:07","120","122","0.93","10.6","9.7","379","48.8% vänster/51.2% höger","0.0","170","Nej","00:05:33.7","11","--","--","01:22:02","01:40:31","52","74"
Cykling,2025-08-12 07:21:49,false,"Staffanstorp Cykling","8.14","313","00:25:06","122","136","2.2","--","--","19.5","33.4","49","2","--","--","--","--","--","0.0","--","Nej","00:11:30","2","--","--","00:23:35","00:25:06","14","70"
Längdskidåkning klassisk stil,2025-08-11 18:02:00,false,"Lund Längdskidåkning klassisk stil","23.91","1,196","01:55:38","131","157","3.2","69","255","12.4","23.1","118","117","0.00","0.0","13.8","601","46.6% vänster/53.4% höger","0.0","48","Nej","00:18:06","5","--","--","01:44:42","01:55:38","28","105"
Cykling,2025-08-11 16:31:41,false,"Staffanstorp Cykling","1.98","59","00:04:51.1","117","124","1.3","--","--","24.4","30.8","--","--","--","--","--","--","--","0.0","--","Nej","00:04:51.1","1","--","--","00:04:49","00:04:51.1","17","26"
Cykling,2025-08-11 07:12:43,false,"Staffanstorp Cykling","8.14","273","00:22:29","121","147","2.1","--","--","21.7","35.4","55","8","--","--","--","--","--","0.0","--","Nej","00:10:14","2","--","--","00:22:18","00:22:29","14","70"
Cykling,2025-08-08 15:52:41,false,"Lund Cykling","7.96","110","00:25:38","156","230","1.1","--","--","18.6","38.9","5","52","--","--","--","--","--","0.0","--","Nej","00:12:32","2","--","--","00:20:49","00:25:38","14","67"
Löpning,2025-08-08 11:23:04,false,"Lund Löpning","5.98","490","00:34:22","134","142","3.1","162","169","5:45","5:19","24","23","1.07","9.0","9.8","268","46.9% vänster/53.1% höger","0.0","5,524","Nej","00:05:32.6","6","--","--","00:34:21","00:34:22","67","90"
