Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medelcykelkadens,Maximal cykelkadens,Medelfart,Maxfart,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Medestress,Maxbelastning,Färdtid,Total tid,Min. höjd,Max. höjd
Cykling,2026-01-21 16:56:15,false,"Lund Cykling","6.16","277","00:26:42","113","127","1.7","--","--","13.8","28.3","8","35","--","--","--","--","--","0.0","--","Nej","00:11:19","2","--","--","00:18:14","00:26:42","14","46"
Cykling,2026-01-21 07:18:37,false,"Staffanstorp Cykling","8.38","406","00:34:03","127","154","2.5","--","--","14.8","27.0","55","8","--","--","--","--","--","0.0","--","Nej","00:14:19","2","--","--","00:31:05","00:34:03","14","70"
Konditionspass,2026-01-20 19:03:35,false,"Kondition","0.00","471","01:01:47","101","159","2.3","125","240","--","--","--","--","0.00","--","--","--","--","0.0","2,032","Nej","01:01:47","1","--","--","00:00:00","01:01:47","20","20"
Cykling,2026-01-20 16:38:46,false,"Lund Cykling","8.48","361","00:33:39","117","135","2.0","--","--","15.1","33.1","14","62","--","--","--","--","--","0.0","--","Nej","00:15:55","2","--","--","00:25:49","00:33:39","14","67"
Cykling,2026-01-20 07:10:54,false,"Staffanstorp Cykling","8.32","362","00:31:47","119","143","2.1","--","--","15.7","28.4","58","10","--","--","--","--","--","0.0","--","Nej","00:14:49","2","--","--","00:30:39","00:31:47","14","69"
Cykling,2026-01-19 16:16:57,false,"Lund Cykling","8.19","274","00:26:11","114","125","1.7","--","--","18.8","29.6","24","56","--","--","--","--","--","0.0","--","Nej","00:09:39.4","2","--","--","00:24:19","00:26:11","14","67"
Cykling,2026-01-19 07:19:18,false,"Staffanstorp Cykling","8.33","389","00:35:49","118","133","2.0","--","--","14.0","27.7","51","14","--","--","--","--","--","0.0","--","Nej","00:16:13","2","--","--","00:32:25","00:35:49","14","69"
Konditionspass,2026-01-18 15:01:57,false,"Kondition","0.00","331","00:59:54","87","130","1.2","119","235","--","--","--","--","0.00","--","--","--","--","0.0","3,166","Nej","00:59:54","1","--","--","00:00:00","00:59:54","--","--"
Cykling,2026-01-18 14:46:30,false,"Staffanstorp Cykling","3.58","135","00:11:16","119","132","1.7","--","--","19.1","29.7","4","13","--","--","--","--","--","0.0","--","Nej","00:11:16","1","--","--","00:10:30","00:11:16","-3","25"
Längdskidåkning klassisk stil,2026-01-17 11:55:24,false,"Staffanstorp Längdskidåkning klassisk stil","38.09","1,810","03:32:31","116","130","2.6","72","248","10.8","23.6","162","163","0.00","0.0","10.8","648","46.5% vänster/53.5% höger","0.0","6,596","Nej","00:15:29","8","--","--","03:14:15","03:32:31","14","105"
Löpning,2026-01-16 16:42:59,false,"Staffanstorp Löpning","6.54","465","00:37:18","137","156","3.0","159","175","5:42","4:13","22","20","1.09","8.3","9.1","263","47.7% vänster/52.3% höger","0.0","5,760","Nej","00:00:00.8","22","--","--","00:36:49","00:37:18","17","37"
Konditionspass,2026-01-16 06:56:34,false,"Kondition","0.00","536","01:08:29","106","143","1.5","119","235","--","--","--","--","0.00","--","--","--","--","0.0","3,360","Nej","01:08:29","1","--","--","00:00:00","01:08:29","--","--"
Konditionspass,2026-01-15 21:11:50,false,"Kondition","0.00","513","01:37:24","88","143","1.3","123","245","--","--","--","--","0.00","--","--","--","--","0.0","4,776","Nej","01:37:24","1","--","--","00:00:00","01:37:24","--","--"
Konditionspass,2026-01-13 19:00:46,false,"Kondition","0.00","438","00:55:55","103","156","2.3","125","229","--","--","--","--","0.00","--","--","--","--","0.0","1,496","Nej","00:55:55","1","--","--","00:00:00","00:55:55","--","--"
Cykling,2026-01-13 16:32:20,false,"Lund Cykling","9.33","419","00:37:45","119","133","2.3","--","--","14.8","27.5","12","59","--","--","--","--","--","0.0","--","Nej","00:17:38","2","--","--","00:30:33","00:37:45","14","67"
Cykling,2026-01-13 07:23:48,false,"Staffanstorp Cykling","8.32","414","00:40:39","116","129","2.0","--","--","12.3","24.7","58","22","--","--","--","--","--","0.0","--","Nej","00:16:43","2","--","--","00:38:00","00:40:39","14","70"
Längdskidåkning klassisk stil,2026-01-12 16:57:40,false,"Lund Längdskidåkning klassisk stil","19.51","1,162","02:04:33","125","150","3.2","82","233","9.4","18.8","172","170","0.00","0.0","8.4","552","48.3% vänster/51.7% höger","0.0","8,128","Nej","00:29:19","4","--","--","02:03:25","02:04:33","61","87"
Längdskidåkning klassisk stil,2026-01-11 10:08:21,false,"Lund Längdskidåkning klassisk stil","13.82","1,075","01:27:10","135","154","3.3","85","240","9.5","26.1","106","113","0.00","0.0","10.6","544","47.3% vänster/52.7% höger","0.0","2,552","Nej","00:17:06","4","--","--","01:16:26","01:27:13","61","88"
Konditionspass,2026-01-09 07:01:41,false,"Kondition","0.00","442","01:00:00","103","137","1.4","117","235","--","--","--","--","0.00","--","--","--","--","0.0","3,708","Nej","01:00:00","1","--","--","00:00:00","01:00:01","--","--"
